Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,BF,Rhat,ESS,beyond_95,beyond_97dot5,beyond_99,power_sample_size
b_Congruency1.Bias1,-0.0061550400000000005,1,-0.0112886,-0.00156493,1,1,0,Inf,0,33.223690196954216,0.9996842417111695,15488.206443867828,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,7.6508e-4,1,-0.00367009,0.00526727,0.7176,1,0,Inf,0.7176,0.0027952202965617246,0.999843204904597,17869.80325213549,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00582546,1,-1.51024e-4,0.010856,0.9999,1,0,Inf,0.9999,9.341055569993495,0.9998000938227213,18255.918798629937,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.004568245,1,1.11828e-4,0.0088878,1,1,0,Inf,1,1.305275495701297,0.9999051326296802,21690.380820353188,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.001317005,1,-0.00597905,0.00354639,0.8469,1,0,Inf,0.15310000000000001,0.003894669908076923,0.9996720842343267,20043.181263034,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00330744,1,-0.00114577,0.00817673,0.9948,1,0,Inf,0.9948,0.06946405365566902,0.9997885467326211,16928.340564203572,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.00126631,1,-0.0060407,0.00363764,0.8356,1,0,Inf,0.1644,0.0034550379844554774,0.9998569657867163,18205.76607131906,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-5.298205e-4,1,-0.00593399,0.00444595,0.6561,1,0,Inf,0.3439,0.0025198451871888167,0.9998605542412643,15064.547475610989,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.001709645,1,-0.00278039,0.00611779,0.9101,1,0,Inf,0.9101,0.0056673619187634005,0.9996747442144213,16552.325565501,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00117149,1,-0.00409907,0.00607351,0.8257,1,0,Inf,0.8257,0.003359718186362663,1.0000791736449364,20639.904730863145,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.0016473500000000001,1,-0.003539,0.00714702,0.8998,1,0,Inf,0.8998,0.0052692896930706485,0.9999667153180732,13875.279989352159,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-2.87854e-5,1,-0.00481531,0.00431897,0.508,1,0,Inf,0.492,0.002267044545622334,0.9996845356684159,17473.75704874028,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.003980235,1,-0.00887969,5.63747e-4,0.9995,1,0,Inf,5e-4,0.3094604842944372,0.9998076223283027,12955.209976507127,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.001141885,1,-0.00611795,0.00345494,0.8106,1,0,Inf,0.1894,0.0034422515104194297,0.9998039480081128,20436.307432083642,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.00182788,1,-0.00691227,0.00328561,0.9239,1,0,Inf,0.0761,0.006442164513831569,0.9997232492460628,20211.913849615365,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-8.94481e-4,1,-0.00576925,0.00448564,0.7607,1,0,Inf,0.2393,0.0028373716046680686,1.0001053919885292,20901.558528906426,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00373711,1,-7.46241e-4,0.00955787,0.9987,1,0,Inf,0.9987,0.17228171302189993,0.9996826273829543,16706.40395248616,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.0034691749999999997,1,-0.00151568,0.00833348,0.9963,1,0,Inf,0.9963,0.0928181045375418,0.9999286283632316,17060.86720009651,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.00117222,1,-0.00588326,0.00375153,0.8242,1,0,Inf,0.1758,0.003443863574923734,0.9997723028251096,17274.266548250598,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.00333517,1,-0.00808362,0.0013247,0.9967,1,0,Inf,0.0033,0.09052589036275117,1.000012747215786,18097.20539193787,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-8.025405e-4,1,-0.00575478,0.00373041,0.731,1,0,Inf,0.269,0.0027816331424599687,0.999711337053993,19763.546768667195,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.0016872599999999999,1,-0.00624443,0.00436175,0.9054,1,0,Inf,0.0946,0.005482720008545456,0.999783578885524,18109.547402339398,FALSE,FALSE,FALSE,300
